Employee_ID,Full_Name,Gender,Email,Date_of_Birth,Hire_Date
100000,Katherine Mcmahon,Male,tammyhester@yahoo.com,11/27/1992,10/5/2018
100001,Erin Jacobs,Non-Binary,johnsonandrew@hotmail.com,11/14/1983,2/5/2006
100002,Rebecca Taylor,Male,nwatts@yahoo.com,5/21/2001,7/18/2010
100003,Vincent Carlson,Non-Binary,pmckenzie@hotmail.com,4/24/1966,5/31/2014
100004,John Mills,Non-Binary,andrewthomas@gmail.com,12/10/1972,8/25/2017
100005,John Watson,Non-Binary,nathan65@gmail.com,1/14/1996,7/5/2004
100006,Jennifer Lynch,Male,moorecharles@gmail.com,12/12/1983,1/4/2019
100007,Kirk Banks,Female,laurapratt@gmail.com,6/24/1999,5/19/2006
100008,Kristin Richards,Male,joseph96@yahoo.com,12/7/1998,1/4/2003
100009,Melinda Davis,Male,laurie59@gmail.com,12/19/1984,7/22/2014
100010,Susan Clarke,Male,christian28@gmail.com,1/11/1997,4/11/2015
100011,Deanna Roberts,Non-Binary,bartlettbenjamin@yahoo.com,4/6/1995,1/14/2002
100012,Marcus Mullins,Female,lrose@hotmail.com,5/26/1995,9/3/2004
100013,Todd Griffin,Female,kennethcoleman@gmail.com,3/10/1981,7/2/2021
